transaction_id,user_id,timestamp,amount_usd,merchant_category,merchant_id,device_type,location,is_foreign,is_night,prior_fraud_flag,velocity_score,payment_method,transaction_channel,fraud_flag
TXN100000,USR6225,2023-01-01 00:00:00,23.46,luxury,M0005,Watch,North Leahtown,0,0,0,0.39,Apple Pay,NFC,0
TXN100001,USR6886,2023-01-01 00:01:00,150.51,groceries,M0182,Watch,North Lisa,0,1,0,0.58,Peer-to-Peer,web,0
TXN100002,USR1500,2023-01-01 00:02:00,65.84,gaming,M0166,Mac,Aguilarburgh,0,1,0,0.59,Wallet Transfer,NFC,0
TXN100003,USR8818,2023-01-01 00:03:00,45.65,utilities,M0190,iPad,East Jonathan,1,1,0,0.52,Peer-to-Peer,web,0
TXN100004,USR3759,2023-01-01 00:04:00,8.48,travel,M0025,iPhone,Port Kelsey,0,1,0,0.41,Subscription,in-app,0
TXN100005,USR8873,2023-01-01 00:05:00,8.48,travel,M0098,iPhone,Brewermouth,0,0,0,0.48,Wallet Transfer,NFC,0
TXN100006,USR2854,2023-01-01 00:06:00,2.99,travel,M0012,iPhone,Moranfurt,1,0,0,0.41,Wallet Transfer,in-app,0
TXN100007,USR6092,2023-01-01 00:07:00,100.56,utilities,M0150,iPhone,Hickston,0,1,0,0.53,Peer-to-Peer,web,0
TXN100008,USR5415,2023-01-01 00:08:00,45.95,electronics,M0137,Mac,Lake Tammyborough,0,0,0,0.55,Subscription,web,0
TXN100009,USR1397,2023-01-01 00:09:00,61.56,utilities,M0084,Watch,Lake Matthewstad,0,0,0,0.45,Peer-to-Peer,web,0
TXN100010,USR7314,2023-01-01 00:10:00,1.04,electronics,M0029,iPad,North Frederick,0,0,0,0.33,Apple Pay,web,0
TXN100011,USR4975,2023-01-01 00:11:00,175.18,travel,M0172,Mac,New Marcus,0,0,0,0.75,Subscription,QR scan,0
TXN100012,USR8548,2023-01-01 00:12:00,89.32,luxury,M0109,iPhone,East Robert,0,1,0,0.56,Wallet Transfer,web,0
TXN100013,USR5119,2023-01-01 00:13:00,11.93,luxury,M0027,iPad,South Christina,0,0,0,0.64,Peer-to-Peer,web,0
TXN100014,USR7923,2023-01-01 00:14:00,10.03,electronics,M0055,Mac,Fraziermouth,0,0,0,0.35,Apple Pay,in-app,0
TXN100015,USR2482,2023-01-01 00:15:00,10.13,travel,M0133,Watch,Kristaside,0,0,0,0.48,Wallet Transfer,in-app,0
TXN100016,USR6167,2023-01-01 00:16:00,18.14,utilities,M0052,iPhone,East Richardborough,0,1,0,0.35,Apple Pay,QR scan,0
TXN100017,USR7329,2023-01-01 00:17:00,37.2,luxury,M0013,iPad,West Dawn,0,1,1,0.78,Subscription,QR scan,0
TXN100018,USR1482,2023-01-01 00:18:00,28.28,electronics,M0042,iPad,North Debrachester,0,0,0,0.28,Apple Pay,QR scan,0
TXN100019,USR5958,2023-01-01 00:19:00,17.21,utilities,M0143,iPhone,New Deniseton,0,1,0,0.3,Wallet Transfer,QR scan,0
TXN100020,USR4549,2023-01-01 00:20:00,47.32,travel,M0079,Watch,Andersonfurt,0,0,0,0.51,Apple Pay,QR scan,0
TXN100021,USR8475,2023-01-01 00:21:00,7.51,groceries,M0018,iPhone,Douglasfort,0,0,0,0.27,Peer-to-Peer,in-app,0
TXN100022,USR9876,2023-01-01 00:22:00,17.28,travel,M0050,Watch,West Robinland,0,1,1,0.78,Subscription,in-app,0
TXN100023,USR5716,2023-01-01 00:23:00,22.81,travel,M0002,iPad,Owensborough,0,0,0,0.22,Apple Pay,NFC,0
TXN100024,USR3153,2023-01-01 00:24:00,30.45,utilities,M0087,iPhone,Lake Christian,1,0,0,0.45,Apple Pay,QR scan,0
TXN100025,USR9824,2023-01-01 00:25:00,76.9,utilities,M0107,Watch,Lake Dannyberg,0,0,0,0.42,Wallet Transfer,web,0
TXN100026,USR8133,2023-01-01 00:26:00,11.14,gaming,M0141,Watch,Scottbury,0,0,0,0.56,Peer-to-Peer,QR scan,0
TXN100027,USR1653,2023-01-01 00:27:00,36.1,gaming,M0196,Mac,New Jessicahaven,0,0,0,0.34,Peer-to-Peer,NFC,0
TXN100028,USR5931,2023-01-01 00:28:00,44.88,utilities,M0047,Watch,West Manuel,0,0,0,0.55,Peer-to-Peer,NFC,0
TXN100029,USR8969,2023-01-01 00:29:00,2.38,utilities,M0089,iPhone,South James,1,0,0,0.33,Peer-to-Peer,web,0
TXN100030,USR8727,2023-01-01 00:30:00,46.77,groceries,M0178,iPhone,Waltersborough,1,0,0,0.3,Apple Pay,in-app,0
TXN100031,USR9030,2023-01-01 00:31:00,9.35,groceries,M0012,Watch,Englishtown,0,0,0,0.45,Peer-to-Peer,NFC,0
TXN100032,USR7148,2023-01-01 00:32:00,3.36,travel,M0013,iPhone,Lake Ashley,0,0,0,0.48,Subscription,web,0
TXN100033,USR1134,2023-01-01 00:33:00,148.68,luxury,M0137,iPad,Port Christophershire,0,1,0,0.44,Peer-to-Peer,web,0
TXN100034,USR4858,2023-01-01 00:34:00,168.53,groceries,M0059,iPad,Port Monica,0,0,0,0.42,Wallet Transfer,NFC,0
TXN100035,USR3844,2023-01-01 00:35:00,82.62,travel,M0173,iPhone,Palmertown,0,1,0,0.77,Peer-to-Peer,NFC,0
TXN100036,USR7086,2023-01-01 00:36:00,18.16,electronics,M0198,Watch,Kyleberg,0,0,0,0.56,Wallet Transfer,in-app,0
TXN100037,USR9412,2023-01-01 00:37:00,5.14,gaming,M0043,iPad,Mirandaside,0,1,0,0.55,Subscription,web,0
TXN100038,USR6484,2023-01-01 00:38:00,57.64,luxury,M0074,Watch,Kevinfurt,1,0,0,0.71,Peer-to-Peer,web,0
TXN100039,USR3493,2023-01-01 00:39:00,29.0,travel,M0023,iPhone,North Zachary,1,1,0,0.23,Subscription,in-app,0
TXN100040,USR5403,2023-01-01 00:40:00,6.51,utilities,M0079,Mac,Kevinside,0,0,0,0.92,Apple Pay,NFC,0
TXN100041,USR5268,2023-01-01 00:41:00,34.18,electronics,M0173,iPad,Sarahborough,0,0,0,0.16,Peer-to-Peer,web,0
TXN100042,USR8951,2023-01-01 00:42:00,1.75,gaming,M0023,iPhone,Warnerton,0,0,0,0.75,Subscription,in-app,0
TXN100043,USR7777,2023-01-01 00:43:00,120.02,electronics,M0101,iPad,South Jonathanfort,0,0,0,0.16,Subscription,web,0
TXN100044,USR5651,2023-01-01 00:44:00,14.97,travel,M0162,Watch,Tinaland,0,1,0,0.49,Wallet Transfer,web,0
TXN100045,USR1629,2023-01-01 00:45:00,54.31,groceries,M0144,Mac,East David,0,1,0,0.38,Subscription,NFC,0
TXN100046,USR7815,2023-01-01 00:46:00,18.68,gaming,M0191,Mac,New Stephanie,0,0,0,0.81,Subscription,web,0
